key,scope,table,field,resource_uri,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,nested_resource,required,alphanumeric_sort
type,fields.serviceactivity,,service_activity_type,/reports/api/v1/field/fields.serviceactivity/type/,3,,TRUE,"The type of the activity","Service Activity Type",TRUE,,serviceactivity.type,[l;d;e],[c;u],string,,,select,,,TRUE,
serviced_user,fields.serviceactivity,custom,,/reports/api/v1/field/fields.serviceactivity/serviced_user/,1,,TRUE,"User the service activity was performed for","Serviced User",TRUE,,,[l;d;e],,string,link,"{ 'hrefTemplate': '#screensaveruser/{serviced_user_id}' }",,,,,
serviced_user_id,fields.serviceactivity,custom,,/reports/api/v1/field/fields.serviceactivity/serviced_user_id/,2,,TRUE,"screensaver_user_id of the user the service activity was performed for","Serviced User ID",TRUE,,,,[c;u],integer,link,"{ 'hrefTemplate': '#screensaveruser/{serviced_user_id}' }",,,,,
serviced_username,fields.serviceactivity,custom,,/reports/api/v1/field/fields.serviceactivity/serviced_username/,2,,TRUE,"Username of the user the service activity was performed for","Serviced Username",TRUE,,,,[c;u],string,link,"{ 'hrefTemplate': '#screensaveruser/{serviced_username}' }",,,,,
funding_support,fields.serviceactivity,,funding_support,/reports/api/v1/field/fields.serviceactivity/funding_support/,4,,TRUE,"Funding Support","Funding Support",TRUE,,funding_support,[l;d;e],[c;u],string,,,select,,,,
screen_facility_id,fields.serviceactivity,screen,facility_id,/reports/api/v1/field/fields.serviceactivity/screen_facility_id/,5,,TRUE,"Serviced Screen","Serviced Screen",TRUE,,,[l;d;e],[c;u],string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}' }",,,,,TRUE
comments,fields.serviceactivity,activity,,/reports/api/v1/field/fields.serviceactivity/comments/,30,,TRUE,Comments,Comments,TRUE,,,[l;d;e],[c;u],string,,,textarea,,,,
