key,scope,resource_uri,table,field,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,edit_type,alias,is_restricted,display_options
name,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/name/,,,0,,TRUE,"The group name",Name,TRUE,,,[l;d],,string,link,,,,"{ 'hrefTemplate': '#usergroup/{name}' }"
users,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/users/,custom,,1,,TRUE,"Usernames of users in the group",Users,TRUE,,,[l;d],[c;u],list,link,multiselect2,,,"{ 'hrefTemplate': '#screensaveruser/{_val}' }"
super_groups,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/super_groups/,custom,,2,,TRUE,"Usergroups this group is a member of (inherits permissions from)","Super Groups",TRUE,,,[l;d],[c;u],list,link,multiselect2,,,"{ 'hrefTemplate': '#usergroup/{_val}' }"
sub_groups,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/sub_groups/,custom,,3,,TRUE,"Usergroups that are members of this group (inherits users from)","Sub Groups",TRUE,,,[l;d],[c;u],list,link,multiselect2,,,"{ 'hrefTemplate': '#usergroup/{_val}' }"
permissions,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/permissions/,custom,,4,,TRUE,"Permissions for the group",Permissions,TRUE,,,[l;d],[c;u],list,,multiselect2,,,
all_sub_groups,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/all_sub_groups/,custom,,5,,TRUE,"All usergroups in the subgroup tree from this group; this group inherits users from all subgroups.","All Sub Groups",TRUE,,,[l;d],,list,link,,,,"{ 'hrefTemplate': '#usergroup/{_val}' }"
all_super_groups,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/all_super_groups/,custom,,6,,TRUE,"All usergroups that are in this groups supergroup tree; this group inherits permissions from all supergroups.","All Super Groups",TRUE,,,[l;d],,list,link,,,,"{ 'hrefTemplate': '#usergroup/{_val}' }"
all_users,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/all_users/,custom,,7,,TRUE,"All users, including those from subgroups","All Users",TRUE,,,[l;d],,list,link,,,,"{ 'hrefTemplate': '#screensaveruser/{_val}' }"
all_permissions,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/all_permissions/,custom,,8,,TRUE,"All permissions, including those from superGroups","All Permissions",TRUE,,,[l;d],,list,,,,,
